iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,973,0.4037290573120117,0.08715558044511744,0.002931356430053711,0.0017227449926461814,223.60679774997894,{'gamma': 223.60679774997894},-2.011278797927873,-2.109789326206255,-1.8708167191417024,-1.9655677377120044,-2.0163184983627387,-1.9947542158701146,0.07769621651564805,6,-2.0598067988204027,-2.0563591769483853,-2.0241103502896154,-2.024282068790806,-2.038093692098677,-2.040530417389577,0.015242661028409647
0,973,0.5239400863647461,0.02676999038826945,0.0037490367889404298,0.0032297358033098675,70.71067811865476,{'gamma': 70.71067811865476},-1.519380587227508,-1.5803363715915604,-1.5213632438594367,-1.7040273794089493,-1.517371127917597,-1.5684957420010104,0.07177258839173371,5,-1.6029161336273812,-1.5595915974385286,-1.5084225110155747,-1.5038642089223095,-1.5525869280984337,-1.5454762758204454,0.03647927231409913
0,973,0.47110519409179685,0.06613123236256169,0.002627134323120117,0.0019506002057037104,22.360679774997898,{'gamma': 22.360679774997898},-1.4407474253864996,-1.5423409824093475,-1.489399679086012,-1.702750733573385,-1.460440088531022,-1.5271357817972533,0.09424127172787412,4,-1.5271591920961356,-1.513683964554161,-1.4691954259344497,-1.4615609115905834,-1.5060721845294576,-1.4955343357409574,0.025645734697717595
0,973,0.5216409206390381,0.061834701824412634,0.0027801990509033203,0.002158887461350558,7.0710678118654755,{'gamma': 7.0710678118654755},-1.43319711294649,-1.5514308686386973,-1.4697923789263454,-1.687706149661929,-1.4427116000370237,-1.5169676220420971,0.09496980440219048,3,-1.513268269000085,-1.5038453078983374,-1.4545230533441005,-1.4533106810671386,-1.4992112449988924,-1.4848317112617109,0.02564806329086398
1,2919,4.47732253074646,0.21455247593086277,0.010265207290649414,0.0007479047196273481,22.360679774997898,{'gamma': 22.360679774997898},-1.4858241366240774,-1.4482210373409734,-1.4724690114554113,-1.5696331943705866,-1.4696886507747593,-1.4891672061131616,0.042001866482033245,2,-1.4849023813631403,-1.4933250651120866,-1.488133128491815,-1.4658578860512381,-1.489905671234911,-1.4844248264506383,0.009674344900797747
1,2919,4.708508729934692,0.41222410402834897,0.009843206405639649,0.0005697771997712273,7.0710678118654755,{'gamma': 7.0710678118654755},-1.4741127041921858,-1.4472558368976398,-1.4674632771564389,-1.5583716281662685,-1.4517672634381344,-1.4797941419701335,0.04050431462553141,1,-1.4739510035803056,-1.4796540579749125,-1.475613670071281,-1.4520105850715395,-1.4803237707331498,-1.4723106174862377,0.010429085119263121
